date,week,year,quarter,month,week_of_year,tv_spend,radio_spend,print_spend,paid_search_spend,display_ads_spend,social_media_spend,email_spend,tv_spend_contribution,radio_spend_contribution,print_spend_contribution,paid_search_spend_contribution,display_ads_spend_contribution,social_media_spend_contribution,email_spend_contribution,base_sales,promotion,promotion_lift,competitor_activity,competitor_impact,sales_revenue,total_marketing_spend,total_marketing_contribution,sales_wow_change,spend_wow_change,holiday_week
2021-01-04,1,2021,1,1,1,53.68,21.59,6.25,40.15,19.95,40.39,10.71,103.85,30.03,6.77,94.71,34.71,82.31,30.49,425.0,0,0.0,0,-0.0,780.28,192.71,382.86,,,1
2021-01-11,2,2021,1,1,2,44.39,24.47,10.24,48.03,28.65,26.13,9.13,127.38,38.79,13.42,114.78,52.17,69.75,28.06,425.41,1,86.02,0,-0.0,1005.71,191.05,444.34,0.29,-0.01,1
2021-01-18,3,2021,1,1,3,43.09,3.1,13.83,37.99,29.34,23.64,15.37,136.21,19.18,18.84,100.13,56.13,63.47,41.09,425.82,1,77.04,0,-0.0,959.65,166.37,435.05,-0.05,-0.13,0
2021-01-25,4,2021,1,1,4,43.09,11.49,19.98,50.43,29.34,20.1,5.64,140.38,22.76,24.14,118.94,56.9,56.08,19.85,426.23,0,0.0,0,-0.0,839.35,180.06,439.05,-0.13,0.08,0
2021-02-01,5,2021,1,2,5,71.22,32.61,10.43,31.02,29.11,16.36,10.56,168.79,43.57,22.94,87.92,56.79,47.66,30.88,401.55,0,0.0,0,-0.0,910.96,201.32,458.55,0.09,0.12,0
2021-02-08,6,2021,1,2,6,57.1,9.25,16.47,54.48,55.38,14.83,13.99,169.5,28.77,24.68,123.95,82.8,43.19,38.57,401.94,0,0.0,0,-0.0,914.71,221.49,511.46,0.0,0.1,0
2021-02-15,7,2021,1,2,7,39.38,30.56,22.92,31.74,42.54,21.44,22.13,154.31,43.22,27.63,89.92,76.25,55.6,52.43,402.32,0,0.0,0,-0.0,894.01,210.72,499.36,-0.02,-0.05,0
2021-02-22,8,2021,1,2,8,53.55,9.22,16.77,55.12,34.27,37.92,9.63,159.46,28.58,27.42,125.02,66.69,83.93,30.63,402.71,0,0.0,0,-0.0,914.63,216.48,521.73,0.02,0.03,0
2021-03-01,9,2021,1,3,9,50.6,11.91,12.66,33.02,32.35,34.98,7.91,159.29,26.06,26.01,92.43,62.51,83.47,25.1,453.48,0,0.0,0,-0.0,879.66,183.42,474.88,-0.04,-0.15,0
2021-03-08,10,2021,1,3,10,24.61,22.08,15.98,34.5,32.67,23.63,9.83,132.26,35.77,26.21,91.47,62.01,65.78,29.44,453.92,0,0.0,0,-0.0,893.57,163.3,442.95,0.02,-0.11,0
2021-03-15,11,2021,1,3,11,33.97,18.9,10.63,27.26,40.54,53.98,15.11,127.85,35.47,24.44,77.3,70.21,104.58,40.66,454.35,0,0.0,0,-0.0,949.79,200.39,480.51,0.06,0.23,0
2021-03-22,12,2021,1,3,12,51.69,15.61,14.27,29.5,32.26,22.64,15.11,145.79,32.24,24.68,80.35,63.17,68.47,41.15,454.79,0,0.0,1,-32.39,866.69,181.08,455.85,-0.09,-0.1,0
2021-03-29,13,2021,1,3,13,71.33,33.13,12.91,37.24,42.59,42.33,8.74,170.9,45.68,24.31,95.34,72.43,91.3,27.75,455.23,1,118.7,0,-0.0,1114.26,248.28,527.72,0.29,0.37,0
2021-04-05,14,2021,2,4,14,44.56,10.68,16.02,41.01,37.02,46.37,15.23,159.94,31.24,25.25,103.35,68.68,99.05,40.82,480.98,1,99.38,0,-0.0,1082.76,210.89,528.34,-0.03,-0.15,0
2021-04-12,15,2021,2,4,15,40.28,17.51,11.75,50.86,58.19,33.14,9.24,149.7,32.82,24.22,119.87,86.73,83.39,28.9,481.44,0,0.0,0,-0.0,1002.83,220.97,525.62,-0.07,0.05,0
2021-04-19,16,2021,2,4,16,49.4,23.53,16.38,35.78,32.2,22.39,12.93,153.38,38.69,25.33,96.81,67.15,63.64,36.37,481.9,0,0.0,1,-65.17,907.6,192.63,481.38,-0.09,-0.13,0
2021-04-26,17,2021,2,4,17,39.55,20.89,11.7,26.58,45.5,25.07,11.58,145.36,38.11,24.25,76.51,75.86,65.0,33.9,482.35,1,120.39,0,-0.0,1067.42,180.87,458.99,0.18,-0.06,0
2021-05-03,18,2021,2,5,18,43.65,14.27,19.62,42.84,24.41,30.28,7.9,145.47,31.8,26.44,104.81,55.5,73.75,25.26,482.81,0,0.0,1,-42.05,855.63,182.98,463.03,-0.2,0.01,0
2021-05-10,19,2021,2,5,19,47.58,14.49,12.19,40.19,27.83,17.32,6.22,149.54,29.92,25.18,102.88,54.97,52.58,20.42,483.27,0,0.0,1,-74.87,830.71,165.82,435.48,-0.03,-0.09,0
2021-05-17,20,2021,2,5,20,33.97,25.95,5.24,44.24,55.78,20.06,14.81,137.17,39.97,21.3,109.47,82.89,54.33,39.76,483.73,0,0.0,0,-0.0,1018.93,200.06,484.87,0.23,0.21,0
2021-05-24,21,2021,2,5,21,60.77,26.43,8.95,31.26,42.72,19.49,16.46,158.54,42.84,20.39,87.23,76.44,53.5,43.55,484.19,0,0.0,1,-54.56,897.35,206.08,482.48,-0.12,0.03,0
2021-05-31,22,2021,2,5,22,32.12,21.11,14.09,32.36,38.59,33.96,10.96,140.32,39.61,22.37,86.93,71.11,77.95,32.97,484.65,0,0.0,0,-0.0,956.38,183.19,471.26,0.07,-0.11,0
2021-06-07,23,2021,2,6,23,31.41,13.19,26.41,31.74,63.68,42.16,9.37,129.04,31.25,27.66,85.7,91.08,92.22,28.76,510.65,1,126.1,0,-0.0,1119.88,217.95,485.73,0.17,0.19,0
2021-06-14,24,2021,2,6,24,51.47,14.9,19.61,54.62,33.48,36.53,5.58,146.06,30.18,28.22,123.98,69.68,86.9,18.88,511.13,1,145.08,0,-0.0,1207.16,216.19,503.91,0.08,-0.01,0
2021-06-21,25,2021,2,6,25,60.25,18.77,4.81,58.13,46.16,39.81,14.88,161.75,33.74,23.77,132.08,76.91,90.42,39.83,511.61,0,0.0,0,-0.0,1108.83,242.8,558.51,-0.08,0.12,0
2021-06-28,26,2021,2,6,26,51.08,19.86,7.2,32.44,47.15,22.08,10.61,160.87,35.75,21.18,92.29,79.13,64.45,31.98,512.1,0,0.0,0,-0.0,1021.98,190.42,485.66,-0.08,-0.22,0
2021-07-05,27,2021,3,7,27,46.81,23.52,21.98,32.63,52.83,25.84,8.49,156.53,39.45,25.84,87.95,84.28,66.43,26.61,512.58,1,60.54,0,-0.0,1031.01,212.11,487.09,0.01,0.11,1
2021-07-12,28,2021,3,7,28,44.19,17.4,18.22,46.77,23.95,26.5,13.28,151.73,35.28,26.82,112.21,57.3,67.83,36.98,513.06,0,0.0,1,-33.95,978.04,190.31,488.15,-0.05,-0.1,1
2021-07-19,29,2021,3,7,29,42.01,26.11,32.01,60.11,33.42,33.6,5.14,147.02,41.37,30.54,133.71,61.82,79.2,18.18,513.55,1,114.41,0,-0.0,1156.85,232.39,511.85,0.18,0.22,0
2021-07-26,30,2021,3,7,30,65.85,26.0,11.68,64.13,37.39,55.77,6.08,166.95,42.91,28.14,140.76,66.97,107.73,19.69,514.03,0,0.0,0,-0.0,1066.22,266.91,573.15,-0.08,0.15,0
2021-08-02,31,2021,3,8,31,52.65,30.56,9.65,31.52,51.78,22.68,6.96,164.89,46.44,25.52,91.83,81.34,69.28,22.1,488.79,0,0.0,1,-36.92,927.18,205.79,501.42,-0.13,-0.23,0
2021-08-09,32,2021,3,8,32,42.39,18.81,14.4,33.88,38.14,38.4,11.44,154.52,39.03,25.38,90.26,71.77,86.2,32.92,489.25,0,0.0,1,-66.3,974.2,197.45,500.09,0.05,-0.04,0
2021-08-16,33,2021,3,8,33,38.58,21.25,11.42,41.64,46.47,45.93,10.03,144.96,38.51,24.17,103.96,77.57,97.86,30.28,489.71,0,0.0,1,-39.65,958.37,215.32,517.33,-0.02,0.09,0
2021-08-23,34,2021,3,8,34,57.24,17.67,20.84,42.25,22.97,33.65,11.98,158.57,35.21,26.78,106.27,54.2,83.89,34.44,490.17,0,0.0,0,-0.0,1038.0,206.59,499.38,0.08,-0.04,0
2021-08-30,35,2021,3,8,35,64.4,13.05,11.25,36.19,30.73,25.07,14.26,170.6,29.52,25.08,96.01,58.16,68.28,39.26,490.63,0,0.0,1,-62.73,944.73,194.96,486.92,-0.09,-0.06,0
2021-09-06,36,2021,3,9,36,64.55,40.94,12.87,30.56,50.24,21.73,12.52,176.12,49.92,24.54,84.36,78.65,59.85,36.02,542.78,0,0.0,0,-0.0,1064.49,233.42,509.47,0.13,0.2,0
2021-09-13,37,2021,3,9,37,37.69,29.9,9.36,38.99,32.85,20.1,19.24,156.77,48.08,22.74,98.82,65.76,55.5,48.03,543.29,0,0.0,0,-0.0,1052.57,188.11,495.7,-0.01,-0.19,0
2021-09-20,38,2021,3,9,38,44.73,26.17,19.38,65.07,34.71,13.77,14.68,152.4,45.11,25.64,139.09,64.9,42.26,40.76,543.8,0,0.0,0,-0.0,1011.93,218.53,510.15,-0.04,0.16,0
2021-09-27,39,2021,3,9,39,42.39,19.12,9.61,33.49,53.1,27.17,9.14,147.76,38.78,23.62,95.2,82.12,65.73,28.67,544.31,1,55.24,0,-0.0,1087.62,194.03,481.88,0.07,-0.11,0
2021-10-04,40,2021,4,10,40,47.87,13.35,17.51,43.37,27.54,27.44,7.87,150.94,31.11,25.41,107.32,60.84,69.29,24.89,596.7,1,126.76,0,-0.0,1235.77,184.95,469.8,0.14,-0.05,0
2021-10-11,41,2021,4,10,41,64.29,28.82,29.49,80.45,29.39,39.9,9.53,167.26,42.44,29.54,157.25,57.92,88.23,28.72,597.26,0,0.0,0,-0.0,1189.06,281.87,571.36,-0.04,0.52,0
2021-10-18,42,2021,4,10,42,74.64,18.61,6.42,34.34,23.61,24.6,13.07,181.82,37.39,25.63,99.54,50.2,68.28,36.64,597.81,0,0.0,0,-0.0,1101.94,195.28,499.49,-0.07,-0.31,0
2021-10-25,43,2021,4,10,43,56.47,23.34,25.96,49.56,55.33,28.51,8.23,175.77,39.75,28.82,117.57,81.89,71.4,26.22,598.37,0,0.0,0,-0.0,1191.15,247.4,541.42,0.08,0.27,0
2021-11-01,44,2021,4,11,44,43.74,16.44,17.57,71.8,49.74,35.09,13.97,162.04,34.48,28.38,148.54,82.3,81.84,38.34,703.09,0,0.0,0,-0.0,1273.46,248.33,575.93,0.07,0.0,0
2021-11-08,45,2021,4,11,45,53.01,23.1,9.49,51.06,49.37,37.55,13.34,162.72,38.77,25.67,124.89,82.08,86.71,37.63,703.74,1,115.74,0,-0.0,1359.35,236.92,558.46,0.07,-0.05,1
2021-11-15,46,2021,4,11,46,83.41,16.86,16.41,59.04,34.19,40.57,6.93,185.85,34.54,26.15,133.4,68.0,91.38,23.03,704.4,0,0.0,0,-0.0,1271.35,257.41,562.34,-0.06,0.09,1
2021-11-22,47,2021,4,11,47,55.03,17.13,20.85,54.51,24.42,33.93,15.86,176.96,33.43,27.74,128.04,53.53,83.16,41.81,705.05,0,0.0,0,-0.0,1272.7,221.72,544.66,0.0,-0.14,1
2021-11-29,48,2021,4,11,48,48.86,22.98,11.12,49.85,22.39,19.82,12.12,167.1,38.39,25.73,120.74,47.66,59.03,35.34,705.7,1,71.57,0,-0.0,1219.73,187.14,493.98,-0.04,-0.16,0
2021-12-06,49,2021,4,12,49,52.13,11.21,19.7,66.17,57.05,37.94,21.36,164.52,28.72,27.21,142.13,82.98,84.35,51.22,784.84,0,0.0,0,-0.0,1374.49,265.56,581.11,0.13,0.42,1
2021-12-13,50,2021,4,12,50,62.06,11.45,29.53,54.03,45.91,26.4,10.8,171.41,25.58,30.23,128.33,79.28,70.55,33.14,785.56,0,0.0,1,-38.05,1310.34,240.18,538.51,-0.05,-0.1,1
2021-12-20,51,2021,4,12,51,43.14,15.95,13.13,42.39,48.41,49.25,9.59,158.94,29.64,28.25,109.12,80.68,99.87,29.27,786.29,1,79.53,0,-0.0,1393.5,221.85,535.76,0.06,-0.08,1
2021-12-27,52,2021,4,12,52,47.68,19.92,10.55,46.64,42.43,33.46,6.82,156.34,34.68,25.92,113.92,75.69,83.99,22.23,787.02,0,0.0,0,-0.0,1332.99,207.5,512.77,-0.04,-0.06,1
2022-01-03,53,2022,1,1,1,60.47,25.24,12.87,41.37,25.92,29.91,5.62,166.41,40.54,25.08,105.83,57.25,76.02,18.64,446.39,1,115.16,0,-0.0,1070.57,201.4,489.78,-0.2,-0.03,1
2022-01-10,54,2022,1,1,2,51.11,16.92,13.87,32.79,29.94,59.86,13.05,163.29,35.21,24.92,89.7,57.84,111.4,36.21,446.8,0,0.0,0,-0.0,1029.6,217.55,518.56,-0.04,0.08,1
2022-01-17,55,2022,1,1,3,47.7,17.94,20.62,39.25,24.06,35.27,17.01,158.62,34.41,27.07,99.79,50.76,88.72,44.35,447.21,0,0.0,0,-0.0,928.42,201.86,503.73,-0.1,-0.07,0
2022-01-24,56,2022,1,1,4,61.37,16.02,12.7,37.58,23.19,31.32,8.66,168.18,32.31,25.79,97.81,48.14,78.94,27.76,447.62,0,0.0,0,-0.0,951.47,190.83,478.92,0.02,-0.05,0
2022-01-31,57,2022,1,1,5,37.1,20.59,11.32,44.83,41.95,26.31,8.43,151.31,36.01,24.41,109.95,69.33,69.48,26.22,448.03,1,89.51,0,-0.0,993.73,190.53,486.7,0.04,-0.0,0
2022-02-07,58,2022,1,2,6,41.19,12.4,8.53,66.17,19.54,17.36,9.16,145.96,29.11,22.27,141.28,47.63,51.88,27.91,422.06,0,0.0,0,-0.0,839.65,174.35,466.05,-0.16,-0.08,0
2022-02-14,59,2022,1,2,7,49.83,17.01,6.17,39.31,23.73,25.27,13.86,152.01,31.72,19.57,105.66,48.22,63.69,38.2,422.45,0,0.0,0,-0.0,820.45,175.19,459.06,-0.02,0.0,0
2022-02-21,60,2022,1,2,8,49.31,20.9,7.45,56.95,29.97,20.04,5.92,154.41,36.13,18.46,128.87,56.14,56.01,20.4,422.84,0,0.0,0,-0.0,909.41,190.54,470.42,0.11,0.09,0
2022-02-28,61,2022,1,2,9,28.62,19.49,7.43,43.65,32.99,45.66,9.8,133.89,36.11,17.74,111.23,61.13,94.14,29.15,423.23,0,0.0,0,-0.0,912.15,187.64,483.4,0.0,-0.02,0
2022-03-07,62,2022,1,3,10,41.27,18.46,12.36,39.82,21.84,31.95,13.38,137.24,35.17,20.13,102.9,48.63,80.8,37.29,476.56,0,0.0,0,-0.0,924.36,179.07,462.16,0.01,-0.05,0
2022-03-14,63,2022,1,3,11,44.77,18.55,6.9,32.75,20.01,41.03,11.21,142.7,34.97,18.5,89.3,43.41,91.15,33.14,477.0,0,0.0,0,-0.0,876.96,175.21,453.17,-0.05,-0.02,0
2022-03-21,64,2022,1,3,12,53.08,22.39,13.47,39.91,37.42,22.61,2.29,153.67,38.3,21.09,100.89,63.84,65.5,9.54,477.44,0,0.0,0,-0.0,909.56,191.16,452.84,0.04,0.09,0
2022-03-28,65,2022,1,3,13,50.83,39.89,27.12,39.18,35.22,21.2,11.99,156.66,50.85,27.41,100.74,65.05,58.43,33.64,477.87,0,0.0,1,-40.0,930.77,225.42,492.78,0.02,0.18,0
2022-04-04,66,2022,2,4,14,46.7,13.36,21.52,30.63,48.61,35.19,11.42,154.23,36.3,28.56,85.02,78.3,80.35,33.42,504.88,0,0.0,1,-52.36,972.51,207.44,496.2,0.04,-0.08,0
2022-04-11,67,2022,2,4,15,24.94,40.98,12.5,32.07,34.74,20.71,15.64,129.42,51.06,26.79,86.15,67.65,60.1,41.81,505.34,0,0.0,0,-0.0,967.82,181.58,462.98,-0.0,-0.12,0
2022-04-18,68,2022,2,4,16,47.39,13.11,8.54,42.78,39.1,24.43,16.97,141.91,36.19,24.04,105.52,69.82,63.38,44.54,505.8,0,0.0,0,-0.0,998.75,192.32,485.39,0.03,0.06,0
2022-04-25,69,2022,2,4,17,48.65,6.65,34.62,59.49,27.17,48.62,15.33,148.94,22.55,30.14,132.33,57.28,98.42,41.76,506.26,1,87.91,0,-0.0,1114.31,240.53,531.42,0.12,0.25,0
2022-05-02,70,2022,2,5,18,93.33,14.9,14.33,37.46,27.5,24.76,9.62,187.49,27.68,28.49,101.31,54.92,70.58,29.84,506.72,0,0.0,0,-0.0,1059.51,221.9,500.32,-0.05,-0.08,0
2022-05-09,71,2022,2,5,19,45.03,21.39,15.16,23.72,22.85,16.83,4.43,170.31,35.54,27.52,71.1,48.56,51.05,15.73,507.18,1,51.93,0,-0.0,948.37,149.41,419.81,-0.1,-0.33,0
2022-05-16,72,2022,2,5,20,52.3,37.05,13.17,17.91,27.25,14.6,20.37,166.34,48.75,26.25,54.76,52.89,43.26,49.14,507.64,0,0.0,1,-65.5,862.55,182.65,441.39,-0.09,0.22,0
2022-05-23,73,2022,2,5,21,66.41,12.57,13.8,27.52,30.75,16.11,8.67,175.55,34.54,25.62,74.21,57.94,45.17,28.13,508.1,0,0.0,1,-36.43,898.06,175.83,441.17,0.04,-0.04,0
2022-05-30,74,2022,2,5,22,59.57,22.68,11.09,47.07,47.18,42.49,9.49,174.81,38.43,24.21,111.59,75.88,89.05,28.79,508.56,0,0.0,0,-0.0,1067.58,239.57,542.75,0.19,0.36,0
2022-06-06,75,2022,2,6,23,72.32,10.4,12.76,25.55,26.46,23.8,17.71,183.47,27.85,23.96,76.19,57.93,67.12,45.27,535.81,0,0.0,0,-0.0,986.43,189.01,481.79,-0.08,-0.21,0
2022-06-13,76,2022,2,6,24,30.6,37.07,24.91,50.05,59.89,61.97,6.86,155.03,47.39,27.87,116.43,86.52,112.59,23.38,536.29,0,0.0,0,-0.0,1109.57,271.35,569.21,0.12,0.44,0
2022-06-20,77,2022,2,6,25,35.29,29.68,22.79,47.0,40.69,46.82,5.2,141.73,47.15,29.1,115.2,75.42,102.81,17.54,536.77,0,0.0,0,-0.0,1070.67,227.47,528.95,-0.04,-0.16,0
2022-06-27,78,2022,2,6,26,40.61,15.51,5.21,37.64,38.29,53.38,7.89,140.38,36.49,24.77,99.56,70.6,108.13,24.4,537.26,0,0.0,0,-0.0,1020.77,198.54,504.34,-0.05,-0.13,0
2022-07-04,79,2022,3,7,27,29.01,8.48,7.47,23.42,34.48,40.15,7.02,126.14,24.89,22.05,70.25,65.66,94.3,22.49,537.74,0,0.0,0,-0.0,973.42,150.03,425.78,-0.05,-0.24,1
2022-07-11,80,2022,3,7,28,49.52,31.55,10.13,31.18,32.62,35.1,4.98,142.76,43.19,21.45,83.01,62.59,85.29,16.86,538.23,0,0.0,0,-0.0,963.14,195.08,455.15,-0.01,0.3,1
2022-07-18,81,2022,3,7,29,36.15,18.06,20.39,36.02,28.84,21.58,9.15,135.93,37.17,25.41,93.36,57.64,62.58,27.46,538.71,0,0.0,0,-0.0,944.74,170.18,439.54,-0.02,-0.13,0
2022-07-25,82,2022,3,7,30,75.19,30.29,22.99,43.11,22.25,28.86,9.79,170.38,44.85,27.97,106.72,48.37,71.15,29.46,539.19,0,0.0,0,-0.0,1041.08,232.48,498.9,0.1,0.37,0
2022-08-01,83,2022,3,8,31,37.26,18.69,18.56,25.42,26.32,35.73,4.78,152.8,38.32,28.12,75.31,51.69,82.73,16.69,512.69,0,0.0,1,-77.41,831.16,166.76,445.66,-0.2,-0.28,0
2022-08-08,84,2022,3,8,32,43.24,19.01,8.45,57.61,52.11,38.72,8.19,148.84,36.36,25.08,127.51,79.36,88.41,25.1,513.15,0,0.0,0,-0.0,979.47,227.33,530.66,0.18,0.36,0
2022-08-15,85,2022,3,8,33,60.62,15.41,11.18,42.35,39.37,18.79,6.73,163.26,32.33,23.88,108.96,72.52,58.18,21.77,513.61,0,0.0,0,-0.0,1010.5,194.44,480.9,0.03,-0.14,0
2022-08-22,86,2022,3,8,34,32.01,23.84,16.99,43.79,51.97,26.62,3.83,143.07,38.83,25.37,109.31,82.42,66.87,13.48,514.07,0,0.0,0,-0.0,1024.89,199.05,479.35,0.01,0.02,0
2022-08-29,87,2022,3,8,35,27.99,19.59,12.65,46.2,28.2,27.66,9.77,126.42,37.03,24.64,113.23,61.65,69.82,28.8,514.53,0,0.0,0,-0.0,962.13,172.06,461.6,-0.06,-0.14,0
2022-09-05,88,2022,3,9,36,52.05,23.57,12.3,57.57,25.36,28.13,10.48,145.55,39.84,24.04,130.37,53.23,71.01,31.09,569.2,0,0.0,0,-0.0,1044.3,209.47,495.14,0.09,0.22,0
2022-09-12,89,2022,3,9,37,53.23,9.47,12.38,41.79,34.9,20.26,6.93,155.1,27.38,23.7,108.38,62.72,57.62,22.63,569.71,0,0.0,0,-0.0,1057.41,178.95,457.54,0.01,-0.15,0
2022-09-19,90,2022,3,9,38,61.91,31.18,22.43,48.51,27.41,51.94,14.52,167.06,43.4,27.05,116.76,55.97,101.62,39.27,570.22,0,0.0,0,-0.0,1086.98,257.9,551.13,0.03,0.44,0
2022-09-26,91,2022,3,9,39,57.48,34.26,18.22,31.81,36.95,27.12,9.69,168.96,48.82,27.49,89.14,65.43,75.0,29.86,570.73,0,0.0,0,-0.0,1034.54,215.54,504.71,-0.05,-0.16,0
2022-10-03,92,2022,4,10,40,55.41,20.74,13.03,67.1,21.83,21.38,7.28,168.21,41.49,26.19,140.97,49.64,60.35,23.46,625.64,0,0.0,1,-76.58,1080.59,206.78,510.31,0.04,-0.04,0
